timestamp,barcode_text,ocr_text,image_path,status
2026-03-12 09:38:50,BARCODE NOT FOUND,1149007930,data\captures\2026-03-12\img_20260312_093850_BARCODENOTFOUND_1149007930.jpg,ocr_only
2026-03-12 09:38:51,BARCODE NOT FOUND,1149007950,data\captures\2026-03-12\img_20260312_093851_BARCODENOTFOUND_1149007950.jpg,ocr_only
2026-03-12 09:38:51,BARCODE NOT FOUND,1148007930,data\captures\2026-03-12\img_20260312_093851_BARCODENOTFOUND_1148007930.jpg,ocr_only
2026-03-12 09:38:54,BARCODE NOT FOUND,1149007930,data\captures\2026-03-12\img_20260312_093854_BARCODENOTFOUND_1149007930.jpg,ocr_only
2026-03-12 09:38:55,BARCODE NOT FOUND,11490007950,data\captures\2026-03-12\img_20260312_093855_BARCODENOTFOUND_11490007950.jpg,ocr_only
2026-03-12 09:38:55,BARCODE NOT FOUND,11490079530,data\captures\2026-03-12\img_20260312_093855_BARCODENOTFOUND_11490079530.jpg,ocr_only
2026-03-12 09:39:03,BARCODE NOT FOUND,114500730,data\captures\2026-03-12\img_20260312_093903_BARCODENOTFOUND_114500730.jpg,ocr_only
2026-03-12 09:39:05,BARCODE NOT FOUND,1149007930,data\captures\2026-03-12\img_20260312_093905_BARCODENOTFOUND_1149007930.jpg,ocr_only
2026-03-12 09:39:19,BARCODE NOT FOUND,114007950,data\captures\2026-03-12\img_20260312_093919_BARCODENOTFOUND_114007950.jpg,ocr_only
2026-03-12 09:39:20,JJD011100003640068442,1149007930,data\captures\2026-03-12\img_20260312_093920_JJD011100003640068442_1149007930.jpg,barcode+ocr
2026-03-12 09:39:22,BARCODE NOT FOUND,114007830,data\captures\2026-03-12\img_20260312_093922_BARCODENOTFOUND_114007830.jpg,ocr_only
2026-03-12 09:39:23,JJD011100003640068442,11490075530,data\captures\2026-03-12\img_20260312_093923_JJD011100003640068442_11490075530.jpg,barcode+ocr
2026-03-12 09:39:24,JJD011100003640068442,1149007930,data\captures\2026-03-12\img_20260312_093924_JJD011100003640068442_1149007930.jpg,barcode+ocr
2026-03-12 09:39:29,BARCODE NOT FOUND,11490079350,data\captures\2026-03-12\img_20260312_093929_BARCODENOTFOUND_11490079350.jpg,ocr_only
2026-03-12 09:39:30,BARCODE NOT FOUND,11407950,data\captures\2026-03-12\img_20260312_093930_BARCODENOTFOUND_11407950.jpg,ocr_only
2026-03-12 09:39:33,BARCODE NOT FOUND,1078,data\captures\2026-03-12\img_20260312_093932_BARCODENOTFOUND_1078.jpg,ocr_only
